row_id,v2_common_hotel_id,city_id,slug,name,run_id,rooms_inserted,images_uploaded,published_at
1,602,1280,pearl-marina-hotel-apartment,pearl marina hotel apartment,20260817-151316,3,97,2026-08-17T15:18:51
2,603,1280,anantara-downtown-dubai,anantara downtown dubai,20260817-151316,0,366,2026-08-17T15:29:42
3,604,1280,anantara-the-palm-dubai-resort,anantara the palm dubai resort,20260817-151316,22,365,2026-08-17T15:32:50
4,605,1280,hilton-dubai-the-walk,hilton dubai the walk,20260817-151316,29,372,2026-08-17T15:44:26
5,403,9658,nihal-residency-hotel-apartments,nihal residency hotel apartments,20260819-130619,1,6,2026-08-19T13:08:17
6,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-130619,0,0,2026-08-19T13:08:18
7,405,9658,astoria-hotel,astoria hotel,20260819-130619,0,54,2026-08-19T13:08:26
8,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-143429,0,0,2026-08-19T14:41:35
9,406,9658,ambassador-hotel,ambassador hotel,20260819-143429,0,54,2026-08-19T14:46:07
10,408,9658,savoy-central-hotel-apartments,savoy central hotel apartments,20260819-143429,0,81,2026-08-19T14:47:07
11,409,9658,movenpick-hotel-apartments-bur-dubai,movenpick hotel & apartments bur dubai,20260819-143429,0,324,2026-08-19T14:49:10
12,406,9658,ambassador-hotel,ambassador hotel,20260819-145701,0,6,2026-08-19T15:02:02
13,407,9658,time-palace-hotel,time palace hotel,20260819-145701,4,24,2026-08-19T15:03:08
14,406,9658,ambassador-hotel,ambassador hotel,20260819-150311,0,0,2026-08-19T15:05:37
15,410,9658,panorama-bur-dubai-hotel,panorama bur dubai hotel,20260819-150311,1,12,2026-08-19T15:05:45
16,411,9658,majestic-premier-hotel,majestic premier hotel,20260819-150311,0,516,2026-08-19T15:10:27
17,412,9658,palm-beach-hotel,palm beach hotel,20260819-150311,0,0,2026-08-19T15:10:29
18,404,9658,al-waleed-palace-hotel-apartments-oud-metha,al waleed palace hotel apartments oud metha,20260819-150311,0,0,2026-08-19T15:10:31
19,413,9658,xclusive-maples-hotel-apartment,xclusive maples hotel apartment,20260819-150311,0,90,2026-08-19T15:13:04
